# Constructed from biom file
#OTU ID	F01C_a21_e1te_CE_M	F01C_a21_e1te_CO_D	F01C_a21_e1te_CO_P	F01C_a2124_e1t2_FEC	F01C_a2124_e1t3_FEC	F01C_a2124_e1t4_FEC	F01C_a2124_e1t5_FEC	F01C_a2124_e1t6_FEC	F01C_a22_e1te_CE_M	F01C_a22_e1te_CO_D	F01C_a22_e1te_CO_P	F01C_a24_e1te_CE_M	F01C_a24_e1te_CO_D	F01C_a24_e1te_CO_P	F01C_a25_e1te_CE_M	F01C_a25_e1te_CO_D	F01C_a25_e1te_CO_P	F01C_a2528_e1t2_FEC	F01C_a2528_e1t3_FEC	F01C_a2528_e1t4_FEC	F01C_a2528_e1t5_FEC	F01C_a2528_e1t6_FEC	F01C_a26_e1te_CE_M	F01C_a26_e1te_CO_D	F01C_a26_e1te_CO_P	F01C_a27_e1te_CE_M	F01C_a27_e1te_CO_D	F01C_a27_e1te_CO_P	F01C_a28_e1te_CE_M	F01C_a28_e1te_CO_D	F01C_a28_e1te_CO_P	F01C_si01	F01C_si02	F01C_si03	F01C_si04	F01R_a04_e1te_CE_M	F01R_a04_e1te_CO_D	F01R_a04_e1te_CO_P	F01R_a0405_e1t2_FEC	F01R_a0405_e1t3_FEC	F01R_a0405_e1t4_FEC	F01R_a0405_e1t5_FEC	F01R_a0405_e1t6_FEC	F01R_a05_e1te_CE_M	F01R_a05_e1te_CO_D	F01R_a05_e1te_CO_P	F01R_a06_e1te_CE_M	F01R_a06_e1te_CO_D	F01R_a06_e1te_CO_P	F01R_a0608_e1t3_FEC	F01R_a0608_e1t4_FEC	F01R_a0608_e1t5_FEC	F01R_a0608_e1t6_FEC	F01R_a07_e1te_CE_M	F01R_a07_e1te_CO_D	F01R_a07_e1te_CO_P	F01R_a09_e1te_CE_M	F01R_a09_e1te_CO_D	F01R_a09_e1te_CO_P	F01R_a0912_e1t3_FEC	F01R_a0912_e1t4_FEC	F01R_a0912_e1t5_FEC	F01R_a0912_e1t6_FEC	F01R_a10_e1te_CE_M	F01R_a10_e1te_CO_D	F01R_a10_e1te_CO_P	F01R_a11_e1te_CE_M	F01R_a11_e1te_CO_D	F01R_a11_e1te_CO_P	F01R_a12_e1te_CE_M	F01R_a12_e1te_CO_D	F01R_a12_e1te_CO_P	F01R_si01	F01R_si02	F01R_si03	F01R_si04	M01C_a29_e1te_CE_M	M01C_a29_e1te_CO_D	M01C_a29_e1te_CO_P	M01C_a2933_e1t2_FEC	M01C_a2933_e1t3_FEC	M01C_a2933_e1t4_FEC	M01C_a2933_e1t5_FEC	M01C_a2933_e1t6_FEC	M01C_a30_e1te_CE_M	M01C_a30_e1te_CO_D	M01C_a30_e1te_CO_P	M01C_a31_e1te_CE_M	M01C_a31_e1te_CO_D	M01C_a31_e1te_CO_P	M01C_a32_e1te_CE_M	M01C_a32_e1te_CO_D	M01C_a32_e1te_CO_P	M01C_a40_e2te_CE_M	M01C_a40_e2te_CO_D	M01C_a40_e2te_CO_P	M01C_a4043_e2t2_FEC	M01C_a4043_e2t3_FEC	M01C_a4043_e2t4_FEC	M01C_a41_e2te_CE_M	M01C_a41_e2te_CO_D	M01C_a41_e2te_CO_P	M01C_a42_e2te_CE_M	M01C_a42_e2te_CO_D	M01C_a42_e2te_CO_P	M01C_a43_e2te_CE_M	M01C_a43_e2te_CO_D	M01C_a43_e2te_CO_P	M01C_si01	M01C_si02	M01C_si03	M01C_si04	M02R_a13_e1te_CE_M	M02R_a13_e1te_CO_D	M02R_a13_e1te_CO_P	M02R_a1316_e1t3_FEC	M02R_a1316_e1t4_FEC	M02R_a1316_e1t5_FEC	M02R_a1316_e1t6_FEC	M02R_a14_e1te_CE_M	M02R_a14_e1te_CO_D	M02R_a14_e1te_CO_P	M02R_a15_e1te_CE_M	M02R_a15_e1te_CO_D	M02R_a15_e1te_CO_P	M02R_a16_e1te_CE_M	M02R_a16_e1te_CO_D	M02R_a16_e1te_CO_P	M02R_a17_e1te_CE_M	M02R_a17_e1te_CO_D	M02R_a17_e1te_CO_P	M02R_a1720_e1t2_FEC	M02R_a1720_e1t3_FEC	M02R_a1720_e1t4_FEC	M02R_a1720_e1t5_FEC	M02R_a1720_e1t6_FEC	M02R_a18_e1te_CE_M	M02R_a18_e1te_CO_D	M02R_a18_e1te_CO_P	M02R_a3738_e2t2_FEC	M02R_a3738_e2t3_FEC	M02R_a3738_e2t4_FEC	M02R_si01	M02R_si02	M02R_si03	M02R_si04	M02R_si05
9253cabe390c5a5629eefbb6392904cf	11146.0	297.0	0.0	5982.0	1318.0	3679.0	5523.0	1779.0	4719.0	0.0	9432.0	11107.0	10999.0	2001.0	612.0	5654.0	247.0	1530.0	59.0	2129.0	86.0	645.0	6970.0	972.0	5848.0	23246.0	496.0	14746.0	4853.0	4.0	10181.0	4694.0	5797.0	4964.0	2761.0	352.0	11837.0	17054.0	29.0	325.0	4980.0	4451.0	980.0	1115.0	1674.0	3708.0	3054.0	3193.0	4323.0	3146.0	1384.0	368.0	99.0	98.0	1448.0	5545.0	407.0	15870.0	5607.0	577.0	813.0	2127.0	5110.0	11414.0	19949.0	8749.0	1292.0	3102.0	9217.0	397.0	445.0	770.0	2390.0	1283.0	6006.0	1428.0	10638.0	482.0	3762.0	305.0	1885.0	248.0	2238.0	113.0	7963.0	4235.0	0.0	12021.0	6861.0	13234.0	0.0	221.0	10.0	13325.0	586.0	0.0	3771.0	5924.0	5165.0	5008.0	3400.0	3425.0	1.0	390.0	7248.0	4833.0	6618.0	12212.0	9.0	0.0	0.0	4.0	7844.0	1933.0	1943.0	348.0	432.0	226.0	0.0	13979.0	250.0	2384.0	662.0	1165.0	663.0	11444.0	344.0	4505.0	12707.0	27.0	14.0	26.0	13581.0	4266.0	8854.0	18.0	6219.0	5157.0	6963.0	7873.0	887.0	5961.0	355.0	84.0	468.0	183.0	370.0
08e4399df04464d7262c7e44911a8fa6	1450.0	11.0	0.0	22.0	40261.0	13161.0	23016.0	13204.0	792.0	0.0	87.0	326.0	6342.0	17.0	9.0	527.0	7.0	3038.0	10661.0	9239.0	7488.0	3445.0	363.0	34.0	93.0	0.0	13.0	14.0	477.0	0.0	260.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	6.0	0.0	0.0	8.0	13.0	0.0	27.0	22.0	0.0	72.0	0.0	10.0	4.0	0.0	0.0	0.0	0.0	484.0	906.0	233.0	11143.0	8489.0	15603.0	22.0	680.0	458.0	254.0	1600.0	77.0	271.0	4169.0	136.0	3422.0	0.0	0.0	0.0	0.0	2512.0	0.0	179.0	5.0	5552.0	14676.0	8399.0	13794.0	4142.0	184.0	0.0	2891.0	398.0	614.0	0.0	15.0	0.0	0.0	12.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0	0.0	3.0	0.0	0.0	0.0	0.0	19.0	5.0	4.0	5267.0	10750.0	9183.0	0.0	2673.0	95.0	267.0	487.0	2626.0	301.0	1654.0	29.0	391.0	4808.0	0.0	2.0	27.0	0.0	3.0	46.0	0.0	464.0	129.0	851.0	0.0	0.0	0.0	0.0	0.0	17.0	0.0	0.0
218cdd76ce17aa579dbeeeeea578cd5f	96.0	15.0	0.0	17014.0	358.0	376.0	646.0	15.0	28.0	0.0	46.0	57.0	3410.0	29.0	15.0	537.0	22.0	0.0	0.0	3.0	0.0	0.0	0.0	11.0	15.0	16.0	12.0	14.0	0.0	8.0	4.0	3.0	0.0	0.0	0.0	70.0	142.0	178.0	9186.0	107.0	105.0	111.0	33.0	172.0	929.0	444.0	84.0	85.0	167.0	55.0	23.0	33.0	10.0	9.0	44.0	108.0	12.0	409.0	30.0	0.0	0.0	0.0	231.0	135.0	179.0	92.0	153.0	31.0	68.0	388.0	123.0	269.0	0.0	0.0	0.0	0.0	803.0	52.0	309.0	2583.0	309.0	326.0	210.0	31.0	1939.0	164.0	0.0	455.0	288.0	702.0	0.0	27.0	0.0	229.0	293.0	0.0	642.0	2179.0	472.0	3791.0	1748.0	411.0	0.0	437.0	1240.0	291.0	663.0	645.0	244.0	82.0	220.0	47.0	6945.0	8081.0	5409.0	25.0	37.0	36.0	0.0	569.0	31.0	98.0	43.0	179.0	58.0	141.0	13.0	59.0	4842.0	9240.0	12591.0	21.0	954.0	1525.0	1646.0	0.0	138.0	204.0	281.0	254.0	22.0	52.0	1385.0	871.0	949.0	1277.0	768.0
ef8ad3f4236944a32cd2392446d857c6	9.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	98.0	0.0	0.0	115.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	72.0	16.0	0.0	219.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	0.0	2903.0	25.0	3.0	0.0	0.0	0.0	9.0	0.0	0.0	13.0	12.0	11.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	2856.0	507.0	3719.0	2585.0	1777.0	186.0	2176.0	165.0	3037.0	2608.0	0.0	2895.0	5981.0	9313.0	0.0	532.0	0.0	3963.0	1104.0	0.0	1791.0	255.0	66.0	1408.0	3097.0	2154.0	0.0	618.0	5427.0	2240.0	4129.0	6683.0	538.0	85.0	1480.0	101.0	2892.0	1440.0	1402.0	0.0	175.0	0.0	0.0	378.0	209.0	621.0	261.0	3759.0	1255.0	382.0	57.0	545.0	4155.0	1596.0	8307.0	7.0	103.0	81.0	3145.0	9.0	14.0	264.0	33.0	89.0	260.0	352.0	8.0	13.0	43.0	45.0	51.0
dd599b06e0976f4b08f6ca7b6a194e36	1215.0	0.0	0.0	3701.0	3449.0	2034.0	6488.0	1384.0	300.0	0.0	14.0	255.0	964.0	5.0	202.0	473.0	25.0	170.0	1698.0	1531.0	921.0	1305.0	459.0	0.0	30.0	16.0	9.0	0.0	271.0	0.0	58.0	9.0	0.0	5.0	0.0	318.0	18.0	140.0	1206.0	951.0	165.0	2413.0	2793.0	330.0	569.0	38.0	1131.0	16.0	114.0	1406.0	1995.0	1606.0	944.0	229.0	0.0	35.0	35.0	190.0	3.0	481.0	1465.0	2387.0	9691.0	9.0	26.0	0.0	683.0	7.0	0.0	81.0	0.0	28.0	13.0	3.0	4.0	4.0	513.0	0.0	16.0	1032.0	297.0	611.0	210.0	935.0	952.0	12.0	0.0	920.0	12.0	25.0	0.0	4.0	0.0	7.0	0.0	0.0	1467.0	1867.0	1052.0	153.0	150.0	4.0	0.0	2.0	8.0	42.0	14.0	17.0	9.0	11.0	12.0	18.0	3.0	7.0	6.0	354.0	2470.0	932.0	11448.0	79.0	8.0	14.0	130.0	476.0	34.0	304.0	0.0	12.0	138.0	6.0	0.0	16.0	3363.0	5001.0	6251.0	2385.0	232.0	4.0	35.0	487.0	96.0	846.0	16.0	10.0	15.0	0.0	4.0
1d05eec526bad469547b31f323c5aff9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	68.0	113.0	0.0	0.0	0.0	0.0	0.0	0.0	34.0	807.0	4884.0	1650.0	892.0	244.0	4235.0	2727.0	36.0	410.0	10050.0	7973.0	807.0	3936.0	2919.0	338.0	9.0	0.0	20.0	190.0	1800.0	5894.0	0.0	201.0	0.0	0.0	0.0	0.0	290.0	0.0	0.0	0.0	10.0	7.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3014.0	4968.0	2471.0	0.0	204.0	0.0	0.0	229.0	161.0	474.0	239.0	3852.0	1724.0	117.0	126.0	1005.0	804.0	3383.0	1173.0	21.0	0.0	0.0	0.0	0.0	203.0	4609.0	3080.0	7162.0	817.0	2205.0	95.0	54.0	1135.0	1096.0	890.0
afd1e463f9446a49da6e1c173a72617c	302.0	13.0	0.0	1440.0	1422.0	734.0	839.0	368.0	76.0	0.0	86.0	90.0	1142.0	47.0	53.0	1077.0	69.0	211.0	546.0	1043.0	1798.0	1733.0	150.0	59.0	119.0	192.0	22.0	177.0	216.0	0.0	98.0	0.0	0.0	0.0	0.0	193.0	800.0	451.0	1007.0	1022.0	438.0	2787.0	1839.0	656.0	2206.0	265.0	1097.0	176.0	817.0	1577.0	1158.0	536.0	646.0	327.0	72.0	533.0	51.0	303.0	90.0	243.0	423.0	1003.0	7502.0	65.0	296.0	8.0	360.0	115.0	160.0	240.0	33.0	476.0	0.0	0.0	0.0	0.0	286.0	8.0	90.0	1010.0	236.0	223.0	138.0	481.0	264.0	81.0	0.0	285.0	111.0	246.0	0.0	11.0	5.0	28.0	56.0	0.0	619.0	472.0	768.0	315.0	494.0	80.0	0.0	20.0	103.0	58.0	66.0	115.0	0.0	0.0	6.0	0.0	45.0	40.0	112.0	136.0	1898.0	146.0	7870.0	278.0	68.0	77.0	140.0	718.0	169.0	146.0	8.0	110.0	458.0	12.0	0.0	0.0	2020.0	1172.0	2395.0	0.0	86.0	72.0	472.0	570.0	54.0	354.0	0.0	0.0	0.0	0.0	10.0
22d0bbf37b605fdec5d75d70bd4ae259	23.0	0.0	0.0	2886.0	2662.0	6664.0	4459.0	198.0	44.0	0.0	13.0	40.0	254.0	3.0	0.0	157.0	0.0	97.0	1402.0	986.0	2329.0	662.0	119.0	18.0	83.0	4.0	0.0	0.0	278.0	0.0	128.0	0.0	0.0	0.0	0.0	17.0	41.0	44.0	5.0	2815.0	841.0	10214.0	2549.0	16.0	98.0	62.0	32.0	14.0	105.0	0.0	5122.0	4861.0	2205.0	27.0	20.0	125.0	16.0	76.0	31.0	105.0	405.0	57.0	9778.0	37.0	255.0	59.0	110.0	17.0	29.0	358.0	25.0	338.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	4.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	11.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	3.0	533.0	341.0	3.0	3.0	168.0	22.0	13.0	9.0	144.0	22.0	80.0	7.0	43.0	476.0	0.0	3.0	8.0	0.0	0.0	7.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
e75ae1cf7cbb23c226078c9720121537	323.0	0.0	0.0	0.0	0.0	3441.0	4974.0	1579.0	579.0	0.0	182.0	347.0	2041.0	74.0	56.0	4038.0	58.0	1257.0	1561.0	1073.0	9049.0	5288.0	742.0	100.0	535.0	206.0	4.0	110.0	292.0	0.0	352.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	19.0	0.0	0.0	71.0	0.0	7.0	0.0	0.0	0.0	0.0	10.0	31.0	447.0	38.0	0.0	0.0	0.0	0.0	18.0	80.0	28.0	199.0	6.0	37.0	592.0	37.0	291.0	0.0	0.0	0.0	0.0	0.0	0.0	76.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	49.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	17.0	12.0	18.0	379.0	4926.0	698.0	0.0	568.0	7.0	64.0	152.0	620.0	142.0	217.0	0.0	193.0	657.0	0.0	48.0	10.0	0.0	0.0	14.0	0.0	42.0	20.0	144.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d52afcfe0254a309c72417d80fa811d4	243.0	0.0	0.0	1328.0	688.0	510.0	455.0	204.0	51.0	0.0	0.0	61.0	870.0	0.0	32.0	809.0	50.0	125.0	373.0	737.0	1165.0	1167.0	73.0	0.0	95.0	139.0	0.0	108.0	150.0	0.0	78.0	74.0	131.0	16.0	10.0	146.0	354.0	303.0	967.0	893.0	280.0	1522.0	1144.0	441.0	1497.0	165.0	907.0	98.0	632.0	550.0	1045.0	543.0	630.0	280.0	59.0	399.0	37.0	201.0	72.0	91.0	236.0	636.0	5130.0	40.0	203.0	0.0	264.0	0.0	97.0	165.0	0.0	327.0	56.0	18.0	7.0	0.0	176.0	0.0	45.0	794.0	212.0	192.0	0.0	319.0	165.0	32.0	0.0	180.0	73.0	124.0	0.0	0.0	0.0	0.0	41.0	0.0	418.0	368.0	530.0	145.0	302.0	59.0	0.0	0.0	0.0	42.0	36.0	48.0	0.0	0.0	0.0	0.0	0.0	0.0	56.0	80.0	1285.0	103.0	6278.0	224.0	0.0	60.0	75.0	420.0	108.0	78.0	0.0	55.0	273.0	0.0	31.0	12.0	1369.0	811.0	1725.0	0.0	78.0	57.0	367.0	487.0	46.0	246.0	28.0	6.0	12.0	0.0	0.0
