	shannon
F01C_a21_e1te_CE_M	1.7319980038419827
F01C_a21_e1te_CO_D	3.6297638740874714
F01C_a21_e1te_CO_P	-0.0
F01C_a2124_e1t2_FEC	3.5631653128312513
F01C_a2124_e1t3_FEC	2.157949149648374
F01C_a2124_e1t4_FEC	3.1609819935350854
F01C_a2124_e1t5_FEC	3.4118447727961443
F01C_a2124_e1t6_FEC	2.403242958297403
F01C_a22_e1te_CE_M	3.381018142208472
F01C_a22_e1te_CO_D	-0.0
F01C_a22_e1te_CO_P	4.395455798108321
F01C_a24_e1te_CE_M	1.8719806740861507
F01C_a24_e1te_CO_D	2.801964936665638
F01C_a24_e1te_CO_P	4.938310665313634
F01C_a25_e1te_CE_M	4.896413850338955
F01C_a25_e1te_CO_D	4.811114418372119
F01C_a25_e1te_CO_P	5.652495817086879
F01C_a2528_e1t2_FEC	3.7002887693272695
F01C_a2528_e1t3_FEC	2.854330647314661
F01C_a2528_e1t4_FEC	2.8993444598206257
F01C_a2528_e1t5_FEC	3.017920839463039
F01C_a2528_e1t6_FEC	3.8681192993901
F01C_a26_e1te_CE_M	2.9120748518377164
F01C_a26_e1te_CO_D	4.929646689899673
F01C_a26_e1te_CO_P	4.883843864900111
F01C_a27_e1te_CE_M	2.9854855843240595
F01C_a27_e1te_CO_D	3.819981632624283
F01C_a27_e1te_CO_P	4.063806932900906
F01C_a28_e1te_CE_M	3.2035061291565383
F01C_a28_e1te_CO_D	3.3170820109628716
F01C_a28_e1te_CO_P	4.558705919583708
F01C_si01	5.515292531182509
F01C_si02	5.049549656870579
F01C_si03	5.320738762691598
F01C_si04	5.33191903403102
F01R_a04_e1te_CE_M	4.258992420144406
F01R_a04_e1te_CO_D	3.364268659779821
F01R_a04_e1te_CO_P	2.516614819987966
F01R_a0405_e1t2_FEC	2.7038882420413715
F01R_a0405_e1t3_FEC	4.087008728711372
F01R_a0405_e1t4_FEC	3.628532390767022
F01R_a0405_e1t5_FEC	3.5099651038476445
F01R_a0405_e1t6_FEC	4.039612461214143
F01R_a05_e1te_CE_M	4.648961840791691
F01R_a05_e1te_CO_D	4.495327098889797
F01R_a05_e1te_CO_P	4.306395547080577
F01R_a06_e1te_CE_M	5.04131739742767
F01R_a06_e1te_CO_D	3.724484497850894
F01R_a06_e1te_CO_P	5.029659379985441
F01R_a0608_e1t3_FEC	4.41839962025178
F01R_a0608_e1t4_FEC	4.072346356309441
F01R_a0608_e1t5_FEC	3.438542280805795
F01R_a0608_e1t6_FEC	4.054396330708432
F01R_a07_e1te_CE_M	5.112893732547498
F01R_a07_e1te_CO_D	3.3809577993108912
F01R_a07_e1te_CO_P	4.1788611045372726
F01R_a09_e1te_CE_M	4.206452028428906
F01R_a09_e1te_CO_D	3.118022460188739
F01R_a09_e1te_CO_P	3.953785174170025
F01R_a0912_e1t3_FEC	1.3986780678673578
F01R_a0912_e1t4_FEC	2.1456161266367526
F01R_a0912_e1t5_FEC	2.4499688865648497
F01R_a0912_e1t6_FEC	4.251358122476833
F01R_a10_e1te_CE_M	1.5773190358448912
F01R_a10_e1te_CO_D	3.042575122648615
F01R_a10_e1te_CO_P	2.623871959287627
F01R_a11_e1te_CE_M	4.679642810283681
F01R_a11_e1te_CO_D	3.668013988762298
F01R_a11_e1te_CO_P	4.051303711784042
F01R_a12_e1te_CE_M	4.523540465774108
F01R_a12_e1te_CO_D	4.677849216987455
F01R_a12_e1te_CO_P	4.250919166107621
F01R_si01	5.178649328143051
F01R_si02	5.241453410870116
F01R_si03	5.013966666461872
F01R_si04	4.8750910310023405
M01C_a29_e1te_CE_M	3.2080707624976776
M01C_a29_e1te_CO_D	3.572278720929404
M01C_a29_e1te_CO_P	4.407165734100249
M01C_a2933_e1t2_FEC	3.800975253801197
M01C_a2933_e1t3_FEC	3.454504002894013
M01C_a2933_e1t4_FEC	2.3262899860608406
M01C_a2933_e1t5_FEC	2.921456460749634
M01C_a2933_e1t6_FEC	2.216589966264189
M01C_a30_e1te_CE_M	3.762945565169929
M01C_a30_e1te_CO_D	3.422450829315429
